sampleID_STPN2309	sampleID_hPTMs_liver	sampleID_progentomics_proteome_liver	trout_liver_batch	SampleID_mucus_microbiota_PGTB	SampleID_digesta_microbiota_PGTB	sampleID_proteomics_gut	gut_proteome_batch	sampleID_hPTMs_gut	gut_hptms_run_date	gut_hptm_batch	sampleID_acid_extractome_gut	sample_type	diet	day_cont	day_categ	rearing_tank	group	phase	diet_phase
S_001	X260220_TroutLiver_Histones_074	260220_TroutLiver_Proteome_074	C	MicrobE_262_M_P3	MicrobE_176_D_P2	240906_Diluted_TroutGutProteome_122	E	X240816_TroutGutHistones_122	240816	E	X240816_TroutGutHistones_122.mzML	mid_gut	Fasted	0	day_00	C	Fasted_day_00		
S_003	X260220_TroutLiver_Histones_047	260220_TroutLiver_Proteome_047	B	MicrobE_281_M_P4	MicrobE_74_D_P1	240906_Diluted_TroutGutProteome_093	D	X240816_TroutGutHistones_093	240816	D	X240816_TroutGutHistones_093.mzML	mid_gut	Fasted	0	day_00	C	Fasted_day_00		
S_005	X260220_TroutLiver_Histones_139	260220_TroutLiver_Proteome_139	E	MicrobE_209_M_P3	MicrobE_142_D_P2	240906_Diluted_TroutGutProteome_073	C	X240816_TroutGutHistones_073	240816	C	X240816_TroutGutHistones_073.mzML	mid_gut	Fasted	0	day_00	C	Fasted_day_00		
S_007	X260220_TroutLiver_Histones_070	260220_TroutLiver_Proteome_070	C	MicrobE_231_M_P3	MicrobE_119_D_P2	240906_Diluted_TroutGutProteome_167	F	X240816_TroutGutHistones_167	240816	F	X240816_TroutGutHistones_167.mzML	mid_gut	Fasted	0	day_00	C	Fasted_day_00		
S_009	X260220_TroutLiver_Histones_122	260220_TroutLiver_Proteome_122	E	MicrobE_344_M_P4	MicrobE_23_D_P1	240906_Diluted_TroutGutProteome_165	F	X240816_TroutGutHistones_165	240816	F	X240816_TroutGutHistones_165.mzML	mid_gut	Fasted	0	day_00	C	Fasted_day_00		
S_011	X260220_TroutLiver_Histones_011	260220_TroutLiver_Proteome_011	A	MicrobE_202_M_P3	MicrobE_18_D_P1	240906_Diluted_TroutGutProteome_114	D	X240816_TroutGutHistones_114	240816	D	X240816_TroutGutHistones_114.mzML	mid_gut	Fasted	0	day_00	C	Fasted_day_00		
S_013	X260220_TroutLiver_Histones_137	260220_TroutLiver_Proteome_137	E	MicrobE_274_M_P4	MicrobE_76_D_P1	240906_Diluted_TroutGutProteome_035	B	X240816_TroutGutHistones_035	240816	B	X240816_TroutGutHistones_035.mzML	mid_gut	Fasted	0	day_00	C	Fasted_day_00		
S_015	X260220_TroutLiver_Histones_045	260220_TroutLiver_Proteome_045	B	MicrobE_272_M_P3	MicrobE_43_D_P1	240906_Diluted_TroutGutProteome_044	B	X240816_TroutGutHistones_044	240816	B	X240816_TroutGutHistones_044.mzML	mid_gut	Fasted	0	day_00	C	Fasted_day_00		
S_017	X260220_TroutLiver_Histones_079	260220_TroutLiver_Proteome_079	C	MicrobE_199_M_P3	MicrobE_1_D_P1	240906_Diluted_TroutGutProteome_051	B	X240816_TroutGutHistones_051	240816	B	X240816_TroutGutHistones_051.mzML	mid_gut	Fasted	0	day_00	C	Fasted_day_00		
S_019	X260220_TroutLiver_Histones_072	260220_TroutLiver_Proteome_072	C	MicrobE_276_M_P4	MicrobE_84_D_P1	240906_Diluted_TroutGutProteome_030	A	X240816_TroutGutHistones_030	240816	A	X240816_TroutGutHistones_030.mzML	mid_gut	Fasted	0	day_00	C	Fasted_day_00		
